value,name,national_desc,nato_desc,comm_designation_desc,deleted,new,SISO
22955,EMITTER_P360Z,P360Z,0,0,0,0,0
22960,EMITTER_PA_1660,PA-1660,0,0,0,0,0
22995,EMITTER_PALM_FROND,0,Palm Frond,0,0,0,0
23040,EMITTER_PALM_FROND_AB,0,Palm Frond AB,0,0,0,0
23085,EMITTER_PAT_HAND_TT,0,Pat Hand TT,0,0,0,0
23095,EMITTER_PAT_HAND_MG,0,Pat Hand MG,0,0,0,0
23130,EMITTER_PATTY_CAKE,0,Patty Cake,0,0,0,0
23175,EMITTER_PAWN_CAKE,0,Pawn Cake,0,0,0,0
23220,EMITTER_PBR_4_RUBIN,PBR 4 Rubin,0,0,0,0,0
23265,EMITTER_PEA_STICKS,0,Pea Sticks,0,0,0,0
23310,EMITTER_PEEL_CONE,0,Peel Cone,0,0,0,0
23355,EMITTER_PEEL_GROUP,0,Peel Group,0,0,0,0
23400,EMITTER_PEEL_GROUP_A,0,Peel Group A,0,0,0,0
23445,EMITTER_PEEL_GROUP_B,0,Peel Group B,0,0,0,0
23490,EMITTER_PEEL_PAIR,0,Peel Pair,0,0,0,0
23535,EMITTER_PHILIPS_9LV_200,0,0,Philips 9LV 200,0,0,0
23580,EMITTER_PHILIPS_9LV_331,0,0,Philips 9LV 331,0,0,0
23625,EMITTER_PHILIPS_LV_223,0,0,Philips LV 223,0,0,0
23670,EMITTER_PHILIPS_SEA_GIRAFFE_50_HC,0,0,Philips Sea Giraffe 50 HC,0,0,0
23690,EMITTER_PIN_JIB,0,Pin Jib,0,0,0,0
23710,EMITTER_PLANK_SHAD,0,Plank Shad,0,0,0,0
23715,EMITTER_PLANK_SHAVE,0,Plank Shave,0,0,0,0
23760,EMITTER_PLANK_SHAVE_A,0,Plank Shave A,0,0,0,0
23805,EMITTER_PLANK_SHAVE_B,0,Plank Shave B,0,0,0,0
23850,EMITTER_PLATE_STEER,0,Plate Steer,0,0,0,0
23895,EMITTER_PLESSEY_AWS_1,0,0,Plessey AWS 1,0,0,0
23940,EMITTER_PLESSEY_AWS_4,0,0,Plessey AWS 4,0,0,0
23985,EMITTER_PLESSEY_AWS_6,0,0,Plessey AWS 6,0,0,0
23990,EMITTER_PLESSEY_RJ,0,0,Plessey RJ,0,0,0
24030,EMITTER_PLESSEY_TYPE_996,0,0,Plessey type 996,0,0,0
24075,EMITTER_PLINTH_NET,0,Plinth Net,0,0,0,0
24095,EMITTER_PLUTO,0,Pluto,0,0,0,0
24100,EMITTER_POHJANPALO,POHJANPALO,0,0,0,0,0
24120,EMITTER_POLLUX,POLLUX,0,0,0,0,0
24165,EMITTER_POP_GROUP,0,Pop Group,0,0,0,0
24210,EMITTER_POP_GROUP_MG,0,Pop Group MG,0,0,0,0
24255,EMITTER_POP_GROUP_TA,0,Pop Group TA,0,0,0,0
24300,EMITTER_POP_GROUP_TT,0,Pop Group TT,0,0,0,0
24345,EMITTER_PORK_TROUGH,0,Pork Trough,0,0,0,0
24390,EMITTER_POST_BOW,0,Post Bow,0,0,0,0
24435,EMITTER_POST_LAMP,0,Post Lamp,0,0,0,0
24480,EMITTER_POT_DRUM,0,Pot Drum,0,0,0,0
24525,EMITTER_POT_HEAD,0,Pot Head,0,0,0,0
24570,EMITTER_PRIMUS_40_WXD,PRIMUS 40 WXD,0,0,0,0,0
